Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Quarter,Year
1,1643690.9,0,42.31,2.572,211.0963582,8.106,5,2,2010
1,1641957.44,1,38.51,2.548,211.24216980000003,8.106,12,4,2010
1,1611968.17,0,39.93,2.5140000000000002,211.2891429,8.106,2,1,2010
1,1409727.59,0,46.63,2.5610000000000004,211.3196429,8.106,2,1,2010
1,1554806.68,0,46.5,2.625,211.3501429,8.106,5,2,2010
1,1439541.59,0,57.79,2.667,211.3806429,8.106,12,4,2010
1,1472515.79,0,54.58,2.72,211.21563500000002,8.106,3,1,2010
1,1404429.92,0,51.45,2.7319999999999998,211.0180424,8.106,3,1,2010
1,1594968.28,0,62.27,2.719,210.82044989999997,7.808,2,1,2010
1,1545418.53,0,65.86,2.77,210.62285740000002,7.808,9,3,2010
1,1466058.28,0,66.32,2.8080000000000003,210.4887,7.808,4,2,2010
1,1391256.12,0,64.84,2.795,210.4391228,7.808,4,2,2010
1,1425100.71,0,67.41,2.78,210.3895456,7.808,4,2,2010
1,1603955.12,0,72.55,2.835,210.33996839999998,7.808,7,3,2010
1,1494251.5,0,74.78,2.8539999999999996,210.3374261,7.808,5,2,2010
1,1399662.07,0,76.44,2.826,210.6170934,7.808,5,2,2010
1,1432069.95,0,80.44,2.759,210.89676060000002,7.808,5,2,2010
1,1615524.71,0,80.69,2.705,211.1764278,7.808,4,2,2010
1,1542561.09,0,80.43,2.668,211.4560951,7.808,11,4,2010
1,1503284.06,0,84.11,2.637,211.4537719,7.808,6,2,2010
1,1422711.6,0,84.34,2.653,211.33865260000002,7.808,6,2,2010
1,1492418.14,0,80.91,2.6689999999999996,211.2235333,7.787000000000001,2,1,2010
1,1546074.18,0,80.48,2.642,211.108414,7.787000000000001,9,3,2010
1,1448938.92,0,83.15,2.623,211.10038540000002,7.787000000000001,7,3,2010
1,1385065.2,0,83.36,2.608,211.2351443,7.787000000000001,7,3,2010
1,1371986.6,0,81.84,2.64,211.36990319999995,7.787000000000001,7,3,2010
1,1605491.78,0,87.16,2.627,211.5046621,7.787000000000001,6,2,2010
1,1508237.76,0,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,8,3,2010
1,1513080.49,0,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,8,3,2010
1,1449142.92,0,85.22,2.6189999999999998,211.5673056,7.787000000000001,8,3,2010
1,1540163.53,0,81.21,2.577,211.53124790000004,7.787000000000001,3,1,2010
1,1507460.69,1,78.69,2.565,211.49519019999997,7.787000000000001,10,4,2010
1,1430378.67,0,82.11,2.582,211.5224596,7.787000000000001,9,3,2010
1,1351791.03,0,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,9,3,2010
1,1453329.5,0,71.89,2.603,211.6719895,7.837999999999999,1,1,2010
1,1508239.93,0,63.93,2.633,211.74675440000001,7.837999999999999,8,3,2010
1,1459409.1,0,67.18,2.72,211.81374359999998,7.837999999999999,10,4,2010
1,1345454.0,0,69.86,2.725,211.8612937,7.837999999999999,10,4,2010
1,1384209.22,0,69.64,2.716,211.9088438,7.837999999999999,10,4,2010
1,1551659.28,0,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,5,2,2010
1,1494479.49,0,59.61,2.728,212.003944,7.837999999999999,12,4,2010
1,1483784.18,0,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,11,4,2010
1,1955624.11,1,64.52,2.735,211.74843330000002,7.837999999999999,11,4,2010
1,1548033.78,0,49.27,2.708,211.60719300000002,7.837999999999999,3,1,2010
1,1682614.26,0,46.33,2.843,211.4659526,7.837999999999999,10,4,2010
1,1891034.93,0,49.84,2.8689999999999998,211.40531239999999,7.837999999999999,12,4,2010
1,2387950.2,0,52.33,2.886,211.4051222,7.837999999999999,12,4,2010
1,1367320.01,1,48.43,2.943,211.4049321,7.837999999999999,12,4,2010
1,1444732.28,0,48.27,2.9760000000000004,211.40474190000003,7.742000000000001,7,3,2011
1,1391013.96,0,35.4,2.983,211.4574109,7.742000000000001,1,1,2011
1,1327405.42,0,44.04,3.016,211.82723430000004,7.742000000000001,1,1,2011
1,1316899.31,0,43.83,3.01,212.19705770000002,7.742000000000001,1,1,2011
1,1606629.58,0,42.27,2.989,212.56688119999998,7.742000000000001,4,2,2011
1,1649614.93,1,36.39,3.022,212.9367046,7.742000000000001,11,4,2011
1,1686842.78,0,57.36,3.045,213.2478853,7.742000000000001,2,1,2011
1,1456800.28,0,62.9,3.065,213.535609,7.742000000000001,2,1,2011
1,1636263.41,0,59.58,3.2880000000000003,213.8233327,7.742000000000001,4,2,2011
1,1553191.63,0,53.56,3.4589999999999996,214.11105640000002,7.742000000000001,11,4,2011
1,1576818.06,0,62.76,3.488,214.3627114,7.742000000000001,3,1,2011
1,1541102.38,0,69.97,3.4730000000000003,214.59993889999998,7.742000000000001,3,1,2011
1,1495064.75,0,59.17,3.5239999999999996,214.8371664,7.682,1,1,2011
1,1614259.35,0,67.84,3.622,215.07439390000002,7.682,8,3,2011
1,1559889.0,0,71.27,3.7430000000000003,215.29185609999996,7.682,4,2,2011
1,1564819.81,0,72.99,3.807,215.45990530000003,7.682,4,2,2011
1,1455090.69,0,72.03,3.81,215.62795440000002,7.682,4,2,2011
1,1629391.28,0,64.61,3.906,215.7960035,7.682,6,2,2011
1,1604775.58,0,75.64,3.8989999999999996,215.9640526,7.682,5,2,2011
1,1428218.27,0,67.63,3.907,215.7339202,7.682,5,2,2011
1,1466046.67,0,77.72,3.786,215.5037878,7.682,5,2,2011
1,1635078.41,0,83.0,3.699,215.27365530000003,7.682,3,1,2011
1,1588948.32,0,83.13,3.648,215.04352290000003,7.682,10,4,2011
1,1532114.86,0,86.41,3.637,214.99805959999998,7.682,6,2,2011
1,1438830.15,0,83.58,3.594,215.09109819999998,7.682,6,2,2011
1,1488538.09,0,85.55,3.5239999999999996,215.18413680000003,7.962000000000001,1,1,2011
1,1534849.64,0,85.83,3.48,215.27717540000003,7.962000000000001,8,3,2011
1,1455119.97,0,88.54,3.575,215.3611087,7.962000000000001,7,3,2011
1,1396926.82,0,85.77,3.6510000000000002,215.4222784,7.962000000000001,7,3,2011
1,1352219.79,0,86.83,3.682,215.4834482,7.962000000000001,7,3,2011
1,1624383.75,0,91.65,3.6839999999999997,215.544618,7.962000000000001,5,2,2011
1,1525147.09,0,90.76,3.638,215.6057878,7.962000000000001,12,4,2011
1,1530761.43,0,89.94,3.554,215.66931069999998,7.962000000000001,8,3,2011
1,1464693.46,0,87.96,3.523,215.73322579999999,7.962000000000001,8,3,2011
1,1550229.22,0,87.83,3.533,215.7971409,7.962000000000001,2,1,2011
1,1540471.24,1,76.0,3.5460000000000003,215.86105600000002,7.962000000000001,9,3,2011
1,1514259.78,0,79.94,3.5260000000000002,216.0410526,7.962000000000001,9,3,2011
1,1380020.27,0,75.8,3.467,216.3758246,7.962000000000001,9,3,2011
1,1394561.83,0,79.69,3.355,216.71059649999998,7.962000000000001,9,3,2011
1,1630989.95,0,69.31,3.285,217.0453684,7.8660000000000005,7,3,2011
1,1493525.93,0,71.74,3.2739999999999996,217.3552733,7.8660000000000005,10,4,2011
1,1502562.78,0,63.71,3.353,217.5159762,7.8660000000000005,10,4,2011
1,1445249.09,0,66.57,3.372,217.67667909999997,7.8660000000000005,10,4,2011
1,1697229.58,0,54.98,3.332,217.837382,7.8660000000000005,4,2,2011
1,1594938.89,0,59.11,3.2969999999999997,217.99808489999998,7.8660000000000005,11,4,2011
